spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.8764274078969936,0.75,499,488,11,6.7484149236948845,6.7484149236948845
0.8783617308530786,0.736936936936937,499,465,34,6.733601033157403,6.733601033157403
0.8755429910196771,0.7269565217391304,499,494,5,6.7425117921660656,6.7425117921660656
0.8805680017598014,0.7263157894736842,499,485,14,6.74297333881972,6.74297333881972
0.875164134705501,0.7333333333333333,499,489,10,6.738248161382855,6.738248161382855
0.8825892760448352,0.726643598615917,499,499,0,6.740072760409061,6.740072760409061
0.8780411432818835,0.7592267135325131,499,502,3,6.745953965551454,6.745953965551454
0.8783630125219264,0.7428057553956835,499,470,29,6.732937426031942,6.732937426031942
0.8873255742817384,0.7380530973451327,499,483,16,6.749991625496202,6.749991625496202
0.8839059591821761,0.7296819787985865,499,480,19,6.715689683019069,6.715689683019069
