spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.7008437793287231,0.2287480680061824,499,296,203
0.7025905374718199,0.2914653784219002,499,303,196
0.7061958051313502,0.24378881987577639,499,302,197
0.7022537967275345,0.25499231950844853,499,318,181
0.7042427546406693,0.2409448818897638,499,289,210
0.6916258236648027,0.2554517133956386,499,307,192
0.7107295743208489,0.25235109717868337,499,300,199
0.7091742176224782,0.2465331278890601,499,310,189
0.6931107080986104,0.2621664050235479,499,305,194
0.7038519704005592,0.2523076923076923,499,315,184
